x,a,b,c,d,e,f,g,h
2350,,3.154874783,3.145397149,3.128057786,3.17038887,,4.64417628,2.466117651
2400,,3.172347623,3.123744038,3.127838761,3.080512106,,4.556796441,2.506713113
2450,,3.14012549,3.10553699,3.085082948,3.111463157,,4.473150739,2.550022542
2500,,3.144088095,3.1559041,3.155858744,3.150887497,,4.395195138,2.595761624
2550,,3.170608351,3.067442632,3.182071483,3.116169949,,4.314103669,2.633278771
2600,,3.120488805,3.071581406,3.17015475,3.110475745,,4.228623429,2.68008256
2650,,3.125819626,3.188453437,3.158045063,3.143164136,,,
2700,,3.171501441,3.207127402,3.221588175,3.20092117,,,
2750,,3.19494161,3.191202115,3.25976461,3.149850815,,,
2800,,3.198089641,3.162059816,3.107264996,3.098318219,,,
2850,,3.231532298,3.101254285,3.085818352,3.070455964,,,
2900,,3.210723635,3.102275275,3.130405204,3.112161108,,,
2950,,3.186303925,3.111379232,3.16167505,3.098041607,,,
3000,,3.12924386,3.105682362,3.108087108,3.129759146,,,
3050,,3.162121023,3.090786684,3.163366348,3.184147954,,,
3100,,3.16655826,3.134264661,3.143508236,3.139113637,,,
3150,,3.17668789,3.132242166,3.139034488,3.158112094,,,
3200,,3.165798174,3.131233364,3.199602629,3.216399811,,,
3250,,3.182682588,3.132896213,3.159619882,3.20501578,,,
3300,,3.162829247,3.210826923,3.242328461,3.193961787,,,
3350,,3.138384216,3.102126029,3.240502299,3.168130847,,,
3400,,3.149538931,3.100005833,3.292797483,3.143618648,,,
3450,,3.192187227,3.175454014,3.219242165,3.203544419,,,
3500,,3.179166586,3.196935272,3.075097534,3.170247577,,,
3550,,3.195825911,3.202322213,3.162311963,3.159363576,,,
3600,,3.155660095,3.158377542,3.190506363,3.079581221,,,
3650,,3.114438915,3.156320433,3.169368574,3.078722829,,,
3700,,3.0796076,3.153061488,3.260238418,3.148022015,,,
3750,,3.12296832,3.134123834,3.286627393,3.109450794,,,
3800,,3.206535993,3.108349131,3.204050244,3.235112684,,,
3850,,3.200328123,3.127503802,3.182380706,3.278345185,,,
3900,,3.248778116,3.116400089,3.141823971,3.318239217,,,
3950,,3.216788115,3.103220901,3.186704838,3.164212027,,,
4000,,3.191643428,3.213624551,3.193833147,3.210408109,,,
