Step,Segmentation Loss,Segmentation Task Weight,Segmentation Variance,Depth loss,Depth Task Weight,,Instance Loss,Instance Task Weight,
6400,0.128996789,-1.541004777,0.214165804,4.266529083,1.955618382,7.068288571,45.2312622,3.701074362,40.49078275
6500,0.076041028,-1.594028592,0.203105731,4.360589981,1.944686055,6.991436585,9.08629227,3.745951176,42.34926966
6600,0.101035327,-1.60743463,0.200401058,3.596308947,2.002846956,7.410122392,18.353878,3.827976942,45.96944525
6700,0.087476194,-1.548483014,0.212570195,4.925421715,1.976616144,7.218276007,38.9212723,3.82311368,45.74642652
6800,0.087570399,-1.574213505,0.207170427,4.500257015,1.930820465,6.895165164,25.5477867,3.804534674,44.90435008
6900,0.105414629,-1.618284822,0.198238422,3.927352667,1.979910254,7.242093011,34.1608391,3.702821255,40.56157763
7000,0.058128696,-1.630505085,0.195830638,4.200891972,1.991288304,7.32496447,27.8892651,3.859223604,47.42851377
7100,0.092034832,-1.644517183,0.193105775,3.171485186,1.90700233,6.732875577,15.7617083,3.839521885,46.50323523
7200,0.08979331,-1.62281239,0.197342913,6.352216244,1.950895309,7.034983249,28.5645485,3.715848446,41.09343786
7300,0.122788198,-1.574744225,0.207060507,3.623581171,1.927748084,6.874013099,12.2334938,3.719946384,41.26218175
7400,0.059291601,-1.598872662,0.202124252,5.750867367,1.876385093,6.529857317,74.2420502,3.608258724,36.90174073
7500,0.115473516,-1.540486217,0.214276891,5.330200195,1.909097075,6.746994021,32.0542336,3.786291361,44.09257323
7600,0.095900699,-1.605166435,0.200856123,3.473791838,1.904128194,6.71355216,23.6913776,3.712732553,40.9655944
7700,0.155920953,-1.634447455,0.195060121,4.38066721,1.979305387,7.237713825,25.4477024,3.883549213,48.5963883
7800,0.06100034,-1.655534148,0.190990011,4.489669323,1.915919185,6.793180115,17.7025795,3.728566885,41.61941999
7900,0.088161223,-1.668126702,0.188600039,7.113634109,1.882996082,6.573169145,15.3514748,3.743578672,42.24891498
8000,0.184228987,-1.64914012,0.19221512,3.733614683,1.924611807,6.852488061,50.5122375,3.837027073,46.387363
8100,0.060862944,-1.680224299,0.186332177,4.491954327,1.925744534,6.860254454,13.0492773,3.83864069,46.46227485
8200,0.085718274,-1.671128631,0.188034724,4.014252186,1.858335972,6.413056381,91.7455215,3.762013674,43.03499723
8300,0.093124211,-1.656419277,0.190821035,5.811607838,1.892686129,6.637173058,24.1356335,3.871413946,48.01022198
8400,0.10251341,-1.628743649,0.196175885,2.953616619,1.96263814,7.118080809,15.9702425,3.729211807,41.64626994
8500,0.06835635,-1.62820518,0.196281548,4.869907379,1.856847525,6.403517986,30.6576309,3.775960922,43.63942227
8600,0.08436086,-1.65151,0.191760132,3.651706457,1.920798779,6.826409081,19.573185,3.704197884,40.61745432
8700,0.114501603,-1.69661808,0.183302391,4.376125336,1.916502833,6.797146103,21.2120647,3.685157299,39.85139054
8800,0.060490079,-1.616078854,0.198676212,5.077297688,1.886864781,6.598648012,22.4931755,3.682917833,39.76224458
8900,0.096987247,-1.693465471,0.183881184,4.708983421,1.913769841,6.778594918,39.5605927,3.753059387,42.65136965
9000,0.108507879,-1.712300301,0.180450225,4.204933643,1.864835978,6.454877054,44.5211601,3.777995825,43.72831465
9100,0.067145973,-1.724218249,0.178312393,3.684944868,1.885083437,6.58690401,18.5743618,3.684926271,39.84218483
9200,0.081765264,-1.719780326,0.179105488,4.327651024,1.834518671,6.262119281,29.4360428,3.65969491,38.84948847
9300,0.073519528,-1.694037199,0.183776084,4.300438881,1.880442142,6.556403086,37.9090195,3.880776882,48.4618496
9400,0.135571554,-1.698201418,0.183012391,4.390684128,1.914946079,6.78657285,21.4536705,3.795649767,44.50714628
9500,0.069247834,-1.624781132,0.196954778,3.827898502,1.873576164,6.511541152,18.0269108,3.719573498,41.24679851
9600,0.118466668,-1.687906861,0.184906153,4.37585783,1.869600296,6.48570352,25.8960609,3.80366683,44.86539703
9700,0.08349321,-1.716986656,0.17960655,3.951194286,1.836629629,6.275352314,22.8050003,3.646286249,38.33204572
9800,0.075041726,-1.718348622,0.179362098,5.726978779,1.875288248,6.522699005,27.399971,3.780077934,43.81945664
9900,0.087335743,-1.694432735,0.183703408,3.662840605,1.861525297,6.433542355,26.9097385,3.685846806,39.87887781
10000,0.093417451,-1.719971061,0.17907133,5.252081394,1.856620908,6.402067005,25.1965485,3.747317791,42.40718439
10100,0.081278361,-1.750602961,0.173669196,3.594059706,1.83564055,6.269148561,36.562149,3.796251535,44.53393734
10200,0.055716384,-1.741182566,0.175312959,3.71135664,1.757234454,5.796385039,17.1290627,3.623513222,37.46897367
10300,0.083184481,-1.710373759,0.180798205,3.852080107,1.879897118,6.552830657,16.8498459,3.712262392,40.94633849
10400,0.057609696,-1.737775445,0.17591129,4.117670059,1.878730655,6.545191479,39.8061371,3.732565641,41.7861791
10500,0.069815218,-1.748798609,0.173982839,4.494029999,1.868847966,6.480825966,19.8618927,3.707262754,40.74213254
10600,0.067474201,-1.764734268,0.171232282,3.974005938,1.839645743,6.294308066,21.0575981,3.825447798,45.85332879
10700,0.15025425,-1.770763755,0.170202946,3.404946327,1.798934817,6.043206915,48.4277458,3.609070539,36.93171029
10800,0.089909151,-1.757006168,0.172560709,4.989363194,1.827136636,6.216062302,18.901495,3.695412397,40.26217318
10900,0.094853424,-1.703959107,0.18196169,6.199775696,1.855398655,6.394246841,37.5639534,3.761203527,43.00014671
11000,0.098073758,-1.704677343,0.181831046,4.644178867,1.825366855,6.205070961,21.7224007,3.734409094,41.86328098
11100,0.074864939,-1.684259772,0.185581754,3.768571138,1.815802097,6.146003894,32.1421661,3.667491674,39.15357268
11200,0.11539723,-1.752870679,0.17327581,5.438332558,1.832692385,6.250693295,17.2993031,3.759981632,42.94763712
11300,0.109388918,-1.706669211,0.181469223,5.337495804,1.815154076,6.14202244,24.7596664,3.693900824,40.20135991
11400,0.225451097,-1.65647614,0.190810185,6.712594986,1.882974982,6.573030453,56.8791962,3.709828377,40.84679567
11500,0.067249998,-1.654831767,0.191124206,4.06471014,1.852594614,6.376342225,24.1600571,3.758696318,42.89247136
11600,0.143994793,-1.728248,0.177595284,4.694059849,1.805609584,6.083678831,15.7217636,3.762619734,43.06108693
11700,0.075399339,-1.73777616,0.175911164,7.283302784,1.796832561,6.030515893,28.6454048,3.637277126,37.98825854
11800,0.082126535,-1.817700148,0.162398815,3.241390944,1.818088651,6.160073139,24.0382252,3.742806673,42.21631143
11900,0.129765317,-1.796902895,0.16581163,4.660142899,1.785780072,5.964230664,17.3747368,3.584303856,36.02826812
12000,0.105167523,-1.709464788,0.18096262,5.586410999,1.851290941,6.368034978,33.9743652,3.755791664,42.76806435
12100,0.135732025,-1.762579083,0.171601717,5.655666828,1.825010538,6.202860385,19.4662151,3.690081835,40.04812415
12200,0.138395965,-1.717490911,0.179516005,4.267631054,1.840444684,6.299338854,73.6311722,3.698892117,40.40251827
12300,0.092053004,-1.714637518,0.180028966,3.807736635,1.795338035,6.021509857,45.5797348,3.666487455,39.11427365
12400,0.070891872,-1.758837223,0.17224503,2.966913939,1.836792111,6.276372031,16.6132107,3.758736372,42.89418942
12500,0.044650808,-1.780008078,0.168636785,3.274070501,1.77552247,5.903364664,20.177742,3.698370218,40.38143777
12600,0.068561457,-1.783582211,0.168035131,5.656713486,1.776198149,5.907354787,49.8910255,3.647983313,38.39715286
12700,0.117129698,-1.76955235,0.170409255,4.469285011,1.789486885,5.986379977,42.4710464,3.619069099,37.30282643
12800,0.060706794,-1.763845444,0.171384545,6.997385502,1.880597353,6.557420787,31.6303482,3.825954437,45.87656578
12900,0.088837981,-1.780635238,0.168531056,3.891307116,1.831523776,6.243392947,13.9790535,3.729604244,41.66261668
13000,0.094045006,-1.812433362,0.163256391,4.362578869,1.786836863,5.970536937,26.4080105,3.672605515,39.35431062
13100,0.070988558,-1.825293064,0.161170404,5.293018341,1.774584293,5.89782886,36.4518127,3.549291849,34.78867313
13200,0.11376927,-1.755437255,0.172831654,5.33659029,1.803053141,6.068146114,30.1568165,3.757041693,42.82155909
13300,0.058866054,-1.769953132,0.170340972,2.991552353,1.798982978,6.043497967,15.322711,3.659731627,38.85091492
13400,0.082272254,-1.794381857,0.166230175,3.70677352,1.791709185,5.9996983,41.8453331,3.66482687,39.04937496
13500,0.0588944,-1.817385554,0.162449913,3.696956396,1.785776615,5.964210045,22.50597,3.770038605,43.38173954
13600,0.075111128,-1.835458636,0.159540314,3.985558033,1.746024966,5.73177334,20.4468765,3.597387314,36.50273955
13700,0.085856162,-1.834000945,0.159773044,3.813539743,1.79139924,5.997839017,71.0301514,3.713133335,40.98201595
13800,0.055627964,-1.817662477,0.162404933,5.462152481,1.826759934,6.213721143,40.5850182,3.738708973,42.04367559
13900,0.068384521,-1.781835914,0.168328826,3.534857035,1.760182977,5.813501032,12.9035015,3.722172737,41.35414826
14000,0.072565101,-1.816247344,0.16263492,3.824558735,1.747983694,5.743011326,37.1652832,3.685147762,39.85101049
14100,0.074788436,-1.744822741,0.174675949,5.001236916,1.799913526,6.049124347,25.369854,3.794679642,44.46398972
14200,0.068990581,-1.810896635,0.163507465,2.970290899,1.713313341,5.547311196,20.7623138,3.728530884,41.61792167
14300,0.077860519,-1.817320704,0.162460448,3.861537933,1.851160407,6.367203786,10.4959488,3.74066782,42.12611343
14400,0.054392576,-1.778696775,0.168858064,6.06619215,1.799473405,6.046462588,22.3432751,3.712294817,40.94766619
14500,0.098674022,-1.782590747,0.168201814,10.33259201,1.809859633,6.10958979,78.4249573,3.668122053,39.17826204
14600,0.082354628,-1.784824729,0.167826474,3.832355976,1.766433477,5.849952125,23.9446354,3.71931839,41.23627746
14700,0.095358521,-1.76192677,0.171713692,3.895597458,1.801506758,6.058769688,42.9839821,3.639730215,38.08156151
14800,0.073308557,-1.770323873,0.170277832,4.733834267,1.762447715,5.82668201,31.4197025,3.709822416,40.8465522
14900,0.067109473,-1.750546217,0.173679051,2.824677944,1.771596551,5.880233964,31.870718,3.765857458,43.2007328
15000,0.062565014,-1.75102222,0.173596399,3.834152222,1.827723742,6.219712859,31.1197453,3.664046288,39.0189056
15100,0.059280537,-1.79903841,0.165457914,3.151904583,1.765600801,5.845083032,27.1827831,3.631034613,37.75185497
15200,0.122932971,-1.840299129,0.158769926,4.314426899,1.740009069,5.697395095,38.1304817,3.696297646,40.29783098
15300,0.118763916,-1.812712073,0.163210896,5.49860096,1.768755913,5.863554049,20.9647942,3.694345951,40.21925862
15400,0.051511955,-1.805410147,0.164407012,3.463071108,1.814095616,6.135524799,20.385973,3.67407012,39.41199138
15500,0.090887263,-1.783413291,0.168063517,3.761663198,1.808242917,6.099720296,21.701725,3.70527029,40.66103612
15600,0.063946918,-1.841335654,0.158605443,5.184459209,1.714138746,5.551891865,14.3197594,3.729990959,41.67873135
15700,0.081063554,-1.879258156,0.152703346,3.015538454,1.716611743,5.565638666,17.9521027,3.587883949,36.15748385
15800,0.084262341,-1.895201683,0.150288021,4.005849838,1.769468784,5.8677355,18.0246964,3.431982994,30.9379317
15900,0.066199824,-1.889975905,0.151075449,3.607349634,1.806047082,6.086341011,40.2643738,3.690395117,40.06067248
16000,0.068847053,-1.896715641,0.150060664,3.786211014,1.80867064,6.102329845,16.0485401,3.648892641,38.43208436
16100,0.067396499,-1.904863954,0.148842891,3.818192005,1.729949474,5.640368918,21.5173492,3.667438269,39.15148171
16200,0.075124875,-1.870075345,0.15411205,4.481263638,1.781655073,5.939678891,12.8476534,3.816553831,45.44731901
16300,0.128068656,-1.863376975,0.155147814,4.631980896,1.768568039,5.862452544,36.4084358,3.807027817,45.01644272
16400,0.066989616,-1.833696961,0.15982162,3.958691835,1.724912405,5.612029423,32.2177887,3.635592699,37.92432395
16500,0.065688118,-1.837735534,0.15917747,3.482228994,1.754692078,5.781667163,17.9138985,3.622487783,37.43057124
16600,0.129519045,-1.850750327,0.157119231,4.237094402,1.843058228,6.315823989,32.8622284,3.763064861,43.08025887
16700,0.04358561,-1.877137303,0.153027551,4.185719013,1.717692614,5.571657654,31.3261318,3.562660933,35.25688864
16800,0.067166716,-1.877732038,0.152936567,3.275710106,1.726302385,5.619835457,20.8649654,3.715588093,41.08274045
16900,0.043219764,-1.857274532,0.15609749,5.151720524,1.742421746,5.711157663,15.8103065,3.606303215,36.82964955
17000,0.0525892,-1.864946008,0.154904573,6.291214943,1.803600788,6.071470229,19.092535,3.746611595,42.37724718
17100,0.122103304,-1.890737534,0.150960429,3.091729164,1.803146362,6.068711823,14.0786304,3.617395639,37.24045385
17200,0.082304321,-1.843663812,0.158236614,3.581379652,1.805141926,6.080834415,118.294586,3.721222878,41.31488627
17300,0.053926185,-1.857617974,0.156043889,5.586321354,1.718351722,5.575331189,25.7966099,3.63993144,38.08922525
17400,0.064592645,-1.878489137,0.152820823,3.34870553,1.695229292,5.44789498,32.562397,3.62968874,37.70107994
17500,0.072909042,-1.902567983,0.149185022,3.150119066,1.806456447,6.088833054,15.575819,3.743858576,42.26074225
17600,0.089643814,-1.893067002,0.150609181,3.487674236,1.749431849,5.751334119,14.4631662,3.693653107,40.19140258
17700,0.073901594,-1.819374561,0.16212712,3.189445257,1.733474612,5.660287083,22.2044506,3.719753265,41.25421401
17800,0.07045453,-1.872162461,0.153790735,3.856015444,1.716681242,5.566025486,38.6357155,3.612267494,37.04996823
17900,0.078164943,-1.874187469,0.153479623,3.517650366,1.786691308,5.969667962,10.9882307,3.643471241,38.22429243
18000,0.070650399,-1.880349517,0.152536782,3.34680438,1.727420092,5.626120294,21.709898,3.585809469,36.08255362
18100,0.099709742,-1.888676882,0.151271827,4.886035919,1.708154678,5.518768173,10.6259193,3.609658718,36.95343912
18200,0.178933337,-1.862928033,0.155217482,5.076019287,1.779093385,5.924482757,24.9582748,3.723227024,41.39777039
18300,0.103179663,-1.818910003,0.162202455,3.084385157,1.758578539,5.80418111,17.5595398,3.699408531,40.42338811
18400,0.092211954,-1.855444312,0.156383444,4.030711651,1.714329243,5.552949581,32.0899849,3.605597258,36.80365856
18500,0.089745328,-1.88168776,0.152332787,3.808226347,1.784766316,5.958187454,49.9935036,3.73927021,42.06727869
18600,0.056903712,-1.888848782,0.151245826,3.085270882,1.706637859,5.510403546,28.6970501,3.537724972,34.38859511
18700,0.078895867,-1.896219492,0.150135135,3.854014397,1.724309444,5.60864661,18.543438,3.63462019,37.88746012
18800,0.074501604,-1.910409689,0.148019732,3.635345697,1.666471124,5.293454851,51.5908508,3.584342241,36.02965111
18900,0.081911922,-1.935263872,0.144386164,2.649387121,1.753527045,5.774935256,14.2204437,3.648590803,38.42048585
19000,0.086968191,-1.930860043,0.145023419,3.330732584,1.740853548,5.702208455,29.7122517,3.544537783,34.62367798
19100,0.078081645,-1.896240473,0.150131985,2.960911751,1.72954011,5.638060422,15.2208977,3.671704292,39.31885962
19200,0.067315593,-1.815572143,0.162744769,5.029328823,1.757295609,5.796739524,20.6190033,3.789519072,44.23512123
19300,0.085065931,-1.87601459,0.153199453,3.776877403,1.708099484,5.518463579,19.3864365,3.613053799,37.07911224
19400,0.108386129,-1.916597009,0.147106714,8.567528725,1.735728979,5.67306184,32.3808174,3.623024702,37.45067381
19500,0.058054376,-1.92373848,0.146059898,3.21288681,1.750526547,5.757633545,18.8438549,3.649598598,38.45922536
19600,0.084873244,-1.952683926,0.141892731,2.956953526,1.755755067,5.787816281,29.3922958,3.665738344,39.08498368
19700,0.106630944,-1.902929306,0.149131128,4.091601849,1.710442424,5.531408163,88.6909256,3.67077589,39.28237285
19800,0.072291583,-1.884406924,0.151919132,3.165273428,1.73601377,5.674677707,13.9804001,3.604403019,36.75973244
19900,0.14369683,-1.88058567,0.152500764,3.968407154,1.692229509,5.431576967,20.7866325,3.535252094,34.30366138
20000,0.058474898,-1.918043137,0.146894133,4.515907288,1.744403362,5.722486206,16.0161495,3.655701637,38.69466121
20100,0.089249052,-1.915139794,0.147321236,5.13632822,1.75136888,5.762485432,34.8076553,3.588145018,36.16692466
20200,0.061406985,-1.854658723,0.156506346,4.468538761,1.735985875,5.674519415,15.8213778,3.589494705,36.21577166
20300,0.083080024,-1.865365863,0.154839549,5.43696928,1.740202785,5.698498873,18.3742466,3.584623575,36.0397889
20400,0.073778853,-1.8206985,0.161912616,3.295628309,1.763323426,5.831786737,20.5207005,3.599326372,36.57358916
20500,0.050776016,-1.874571919,0.153420629,3.580556631,1.698036551,5.463210122,29.5394363,3.643565893,38.22791061
20600,0.060576659,-1.900491714,0.149495092,4.729975224,1.70398891,5.495826081,16.8751221,3.542412758,34.55017993
20700,0.057145733,-1.919944882,0.146615043,2.634394169,1.676726103,5.348018416,22.8268528,3.581048489,35.91117357
20800,0.082259819,-1.950321913,0.142228279,3.130658388,1.686904073,5.402728333,15.2372904,3.633521795,37.84586759
20900,0.059023414,-1.937020779,0.144132714,4.154752254,1.6971668,5.458460556,11.6557236,3.605377197,36.79556042
21000,0.072658226,-1.905438066,0.148757463,3.337287903,1.757597327,5.798488773,26.6375599,3.71254921,40.9580843
21100,0.090105511,-1.860968232,0.155521976,3.818324327,1.782426,5.944259712,26.2192631,3.644188404,38.25171531
21200,0.078992151,-1.860498667,0.155595021,4.139647484,1.739206433,5.692823994,22.6653881,3.774255514,43.56506267
21300,0.040697489,-1.879477262,0.152669891,4.438899994,1.70387578,5.495204375,96.3428879,3.617299557,37.23687586
21400,0.073281161,-1.878530502,0.152814501,3.02327466,1.71093595,5.534138733,22.9874687,3.601452589,36.65143527
21500,0.045492053,-1.914646387,0.147393944,3.992750406,1.725540042,5.615552845,10.8876553,3.609520674,36.94833826
21600,0.055450495,-1.964036584,0.14029098,2.41668272,1.691841006,5.429467193,20.6819344,3.550391674,34.82695563
21700,0.041430734,-1.932991982,0.144714567,3.741495371,1.624237418,5.074547803,23.9318161,3.527344942,34.03348667
21800,0.052639242,-1.918640852,0.146806358,3.730316162,1.727076054,5.624185028,11.3053331,3.595622301,36.43836857
21900,0.116498478,-1.937608957,0.144047963,3.662343025,1.679453135,5.362622536,50.1703835,3.605871916,36.81376837
22000,0.094858825,-1.940410852,0.143644921,3.040961266,1.689304471,5.41571261,22.26227,3.625608683,37.54757076
22100,0.116463423,-1.960128069,0.140840382,2.992034197,1.637796283,5.143821485,8.68032074,3.549017191,34.77911945
22200,0.116832227,-1.937984228,0.143993916,4.894518852,1.679285765,5.36172507,50.4671822,3.582903624,35.97785548
22300,0.064916454,-1.939760685,0.143738344,3.081065178,1.628316164,5.095287862,30.5652237,3.634259939,37.8738136
22400,0.091010496,-1.971474051,0.139251441,4.444825649,1.706109166,5.507491003,26.6849174,3.633390188,37.84088713
22500,0.037291221,-1.934985638,0.144426343,5.337080956,1.688247085,5.409989135,15.383605,3.718430042,41.19966158
22600,0.063894592,-1.96712923,0.13985778,3.505956411,1.72214222,5.596504573,15.3816748,3.626493931,37.5808244
22700,0.065048657,-1.956296682,0.141381031,3.385070324,1.702202439,5.486016715,14.3757744,3.599330187,36.57372867
22800,0.06082933,-1.952226996,0.14195758,5.141060352,1.713570595,5.548738445,66.526123,3.586160898,36.0952363
22900,0.088828668,-1.937603712,0.144048719,3.000276566,1.71217382,5.540993515,14.7206163,3.501860619,33.17712454
23000,0.047710299,-1.942942142,0.143281774,3.704893589,1.715890646,5.561626748,23.5626926,3.645370722,38.29696774
23100,0.044370357,-1.933742642,0.144605976,2.682558537,1.684962869,5.392250707,14.8801098,3.677996874,39.56705683
23200,0.07036864,-1.955942035,0.141431181,4.939409256,1.702077389,5.485330728,15.9897232,3.567077875,35.41296072
23300,0.056348547,-1.958830595,0.141023238,2.640939236,1.681227922,5.372148504,24.7531948,3.529123783,34.09408071
23400,0.091180466,-1.975039124,0.138755883,4.650648594,1.745620131,5.729453388,14.9105673,3.561911345,35.2304704
23500,0.124565654,-1.949832201,0.142297947,4.262970924,1.720157623,5.585408785,43.6369324,3.592615604,36.32897399
23600,0.081843168,-1.933633566,0.14462175,4.59250021,1.687767863,5.407397174,20.9026337,3.552210093,34.89034323
23700,0.100958288,-1.937052727,0.144128109,5.72337532,1.681129575,5.371620192,15.875536,3.594097853,36.38286248
23800,0.073352382,-1.981673717,0.137838342,2.998804808,1.633226871,5.120370868,24.3322754,3.540348291,34.47892581
23900,0.071039833,-1.969611764,0.139511009,2.727416992,1.63823545,5.146080978,26.2607174,3.467212677,32.04729169
